Voltage(V),SoE (%)
4.104092,96.0788025
4.103962,96.06329432
4.103725,96.04796142
4.103678,96.03245324
4.103498,96.01708356
4.103428,96.00164679
4.103357,95.98624573
4.103279,95.970849
4.103122,95.9553841
4.103013,95.9400274
4.102839,95.92452246
4.102736,95.90919281
4.102561,95.89371926
4.102401,95.87836148
4.102231,95.86292038
4.101933,95.84753879
4.101854,95.83205117
4.101681,95.81671611
4.101491,95.80122092
4.101384,95.78589451
4.101266,95.77039175
4.101146,95.75509131
4.100995,95.73961667
4.100856,95.72426105
4.100938,95.70881347
4.100805,95.69347732
4.100626,95.67806112
4.100463,95.66257782
4.100329,95.64726116
4.100204,95.63176596
4.100068,95.6163887
4.099966,95.60103417
4.099722,95.5855671
4.099532,95.57014548
4.099292,95.55482557
4.099194,95.53932064
4.099048,95.52399965
4.098912,95.50852284
4.098784,95.49317155
4.098697,95.4778419
4.098489,95.46233589
4.098371,95.44700299
4.098236,95.43157813
4.098252,95.41614785
4.09812,95.40076951
4.098007,95.38543662
4.097833,95.37006152
4.097737,95.35463341
4.097564,95.33923343
4.097432,95.3238486
4.097301,95.30835232
4.097028,95.29302916
4.096893,95.27766489
4.09671,95.26218484
4.096571,95.24680001
4.096424,95.23143357
4.096304,95.21608661
4.096128,95.2006466
4.095962,95.18531587
4.09591,95.16985313
4.095695,95.15448669
4.095695,95.13907806
4.09565,95.12372352
4.09551,95.10833003
4.095391,95.09300904
4.095212,95.07751384
4.095107,95.06213118
4.094989,95.04680369
4.094874,95.0314102
4.09463,95.01595937
4.094462,95.00068598
4.094221,94.98524489
4.094138,94.96992281
4.093966,94.95451526
4.093838,94.93917695
4.093711,94.92366661
4.093563,94.90839971
4.093454,94.89302895
4.093297,94.87759975
4.093166,94.86219869
4.093072,94.84684199
4.093063,94.83145175
4.092917,94.81603771
4.092772,94.80065396
4.092657,94.7853784
4.092511,94.76992
4.092368,94.75454382
4.092242,94.73921742
4.092029,94.723904
4.091838,94.70851051
4.091652,94.69314299
4.091481,94.67770406
4.091312,94.66227595
4.091186,94.64693872
4.091116,94.63153117
4.090984,94.61627726
4.09079,94.60090649
4.090658,94.58543943
4.090551,94.57017362
4.090553,94.55477472
4.090482,94.53929684
4.090269,94.52401371
4.090171,94.50867432
4.090001,94.49329598
4.089931,94.47788194
4.089722,94.46259232
4.089644,94.44726375
4.089368,94.43186053
4.089171,94.41645947
4.089025,94.40114604
4.08884,94.38577961
4.088762,94.37036015
4.088636,94.35498506
4.088464,94.33966731
4.088308,94.32427166
4.088177,94.30896365
4.088051,94.29357449
4.087991,94.27824267
4.087955,94.26290761
4.087876,94.24753144
4.087676,94.232165
4.087579,94.21674446
4.087415,94.20147108
4.087286,94.18610897
4.087177,94.17075768
4.087,94.15533065
4.086792,94.14003346
4.086519,94.12465403
4.086431,94.10926163
4.086315,94.09389194
4.086159,94.07852659
4.085983,94.0631753
4.085881,94.04793978
4.085756,94.03253223
4.085578,94.01718202
4.08547,94.00182748
4.085269,93.98646537
4.085202,93.97104159
4.085103,93.95580391
4.085061,93.94040826
4.084929,93.92506454
4.0848,93.90968512
4.084679,93.89432625
4.084571,93.8791232
4.084448,93.86376325
4.084208,93.84834812
4.084136,93.83298385
4.083924,93.81766718
4.083664,93.80232347
4.083574,93.78697975
4.083415,93.77161872
4.083236,93.75622848
4.083086,93.74100378
4.082958,93.72560489
4.082856,93.71025143
4.082727,93.69488824
4.082546,93.67953046
4.082487,93.66425599
4.082362,93.64897719
4.082351,93.6335902
4.082136,93.61822917
4.082075,93.60286381
4.081918,93.58761099
4.081771,93.57226943
4.081637,93.55687919
4.081498,93.54163502
4.081253,93.52623179
4.081015,93.51097464
4.080911,93.49558007
4.080739,93.48029694
4.080619,93.46488073
4.08051,93.44965495
4.080339,93.43426147
4.080156,93.41887231
4.080039,93.40364328
4.079967,93.38831363
4.079849,93.37294827
4.079802,93.35756777
4.079731,93.34233117
4.079564,93.32695716
4.079409,93.31160803
4.079262,93.29624268
4.079135,93.28100283
4.078965,93.26568725
4.078789,93.2503457
4.078512,93.23497168
4.078365,93.21972318
4.078255,93.20441301
4.078156,93.18906821
4.078031,93.17374505
4.077847,93.1583732
4.077691,93.14307493
4.077523,93.12774204
4.077243,93.11249786
4.077314,93.09715306
4.077299,93.08179853
4.077215,93.06651324
4.077054,93.05119333
4.076931,93.03581499
4.076719,93.02055783
4.076617,93.00524008
4.07652,92.98985417
4.076392,92.97462406
4.076094,92.95927494
4.075933,92.94394637
4.075788,92.92860806
4.075589,92.91329789
4.075473,92.89801693
4.075304,92.88273921
4.075132,92.86737927
4.075082,92.85204529
4.074924,92.83678597
4.074732,92.82141412
4.074654,92.80620673
4.074639,92.79076023
4.074517,92.77554527
4.074349,92.76023077
4.074243,92.74487515
4.074076,92.72960501
4.073957,92.71428726
4.07382,92.69894354
4.073684,92.68371127
4.073445,92.66846602
4.073229,92.65309092
4.073058,92.63781537
4.072879,92.62245218
4.072745,92.60719178
4.072639,92.59187619
4.0725,92.5765011
4.072335,92.56127532
4.072211,92.54599869
4.072074,92.5306712
4.07203,92.51539782
4.071981,92.50004761
4.071799,92.48481534
4.071672,92.46948244
4.071581,92.45422528
4.071386,92.43888806
4.071276,92.42362874
4.071137,92.40831748
4.070923,92.3930441
4.070647,92.37773717
4.070494,92.36246919
4.070378,92.34717308
4.070255,92.33181422
4.070146,92.31647916
4.069862,92.30126203
4.069769,92.28594212
4.069637,92.27067739
4.069487,92.25537479
4.069468,92.24006894
4.069331,92.22475985
4.069271,92.2095265
4.069079,92.1941698
4.068981,92.17891913
4.068829,92.16360355
4.068692,92.1483637
4.068569,92.13301133
4.068439,92.11775418
4.068238,92.10245482
4.06797,92.08720957
4.067868,92.07187883
4.067664,92.05661951
4.067452,92.04133098
4.067337,92.02608681
4.067225,92.01080693
4.067051,91.99554652
4.066954,91.98027314
4.066771,91.96502031
4.066697,91.94963331
4.06663,91.93438481
4.066498,91.91907897
4.066385,91.90382181
4.066242,91.8885679
4.066092,91.87335186
4.065892,91.85806873
4.065807,91.84276505
