Estimated Instantaneous Total Power Draw [W]
15616.25
18801.25
19938.75
20341.75
22815
23855
25090
27007.5
27300
28112.5
28925
28925
29250
29503.5
29315
29152.5
29510
29604.25
29861
30907.5
31070
31200
31200
31200
27803.75
27625
25090
24485.5
26390
26552.5
27040
27072.5
26728
26146.25
26325
25285
18356
14332.5
7296.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3818.75
7068.75
7231.25
7835.75
11765
12350
12382.5
12545
12457.25
12025
12350
11846.25
12025
11771.5
12025
11375
10790
10725
10725
10725
10513.75
10546.25
12093.25
12350
13650
14300
15275
15379
16282.5
18151.25
18525
18801.25
19500
20767.5
22847.5
23822.5
25675
25675
27950
28275
29250
29575
29370.25
29250
29250
29380
29250
29250
28925
28275
28275
27625
27625
23806.25
21628.75
21125
21170.5
21430.5
21450
21775
22100
22100
22197.5
23205
23075
23595
23725
24602.5
25675
25642.5
26633.75
26650
26893.75
27056.25
26975
26650
26650
25983.75
25821.25
24960
23075
23075
23205
23692.5
23920
24342.5
24131.25
25025
24700
24700
24700
24700
15648.75
16542.5
11651.25
10725
10725
1560
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
3415.75
4680
11131.25
11748.75
13422.5
14179.75
14300
14950
15762.5
17550
17550
18590
19597.5
19825
19597.5
19825
20475
20475
20751.25
20475
20475
19857.5
18216.25
18200
16623.75
16321.5
15925
15925
15925
16250
16250
16250
15827.5
14105
11241.75
10734.75
0
0
0
0
0
0
0
0
0
0
4647.5
6045
6532.5
6990.75
9311.25
9750
9441.25
9425
9626.5
11050
11050
11050
11115
11050
11050
11050
11050
10725
10725
11050
11050
11050
11420.5
11680.5
11797.5
12220
14950
15031.25
15320.5
17745
20800
20475
20800
20800
20800
20328.75
19825
19353.75
9425
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
5980
7930
10205
11375
11521.25
15128.75
15632.5
17582.5
18200
18200
18525
18525
18525
18200
18200
18460
18200
18200
18200
18525
18525
18525
18525
18525
19191.25
21628.75
22100
22376.25
22668.75
24505
25675
25675
25980.5
25720.5
30241.25
30875
31882.5
33260.5
33770.75
33686.25
33800
33475
33712.25
33410
33702.5
33800
33800
33923.5
34775
36400
37050
37050
37050
36786.75
36530
35815
33735
32454.5
27251.25
27413.75
27153.75
24602.5
24375
25025
25025
25496.25
25366.25
25350
26325
26000
26325
26351
26607.75
26325
26520
26000
26000
26000
22165
21450
22100
21872.5
22100
22100
22100
22425
22100
22285.25
22100
22278.75
23058.75
23231
24017.5
25545
25675
26000
26191.75
26650
26975
27040
27755
26815.75
15941.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1625
9945
13260
17810
24245
25665.25
25870
26000
27300
27007.5
26731.25
26650
24440
21092.5
21836.75
22610.25
20442.5
19971.25
18525
17875
17875
16120
13146.25
12561.25
10374
9035
7572.5
6760
7507.5
10013.25
12561.25
13975
14478.75
14966.25
15119
15778.75
16038.75
16575
16575
16575
16445
13162.5
8255
2535
588.25
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
6223.75
6288.75
7020
9408.75
10185.5
12025
12642.5
15063.75
17208.75
17225
17485
17972.5
17940
18229.25
18486
18850
18850
18525
18138.25
17884.75
13130
9295
7735
8355.75
8206.25
8450
9100
9343.75
9750
9750
9457.5
9750
9750
9750
9750
9938.5
9750
9896.25
9876.75
10075
10075
9750
9750
9750
9945
11082.5
11375
11375
11375
11375
11375
11683.75
12025
12025
12756.25
14950
19662.5
20475
20507.5
20800
21157.5
21125
21450
22490
26812.5
32370
33442.5
33618
33572.5
33735
33475
33410
33150
33442.5
33653.75
33150
33475
33475
33800
33800
33800
33848.75
33800
33913.75
34076.25
33800
33800
33800
33507.5
33475
33150
32825
32825
28356.25
28275
27868.75
26728
26975
26780
26552.5
23920
22750
17550
2827.5
0
0
0
0
0
0
0
0
0
3818.75
7491.25
7800
7800
11375
11667.5
12155
12025
12268.75
12675
12675
13000
13364
13874.25
14300
14787.5
14950
12844
12070.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
2957.5
4988.75
10032.75
11323
16705
18135
19370
21632
22230
23855
24375
24375
23764
22587.5
20475
15112.5
10400
9610.25
1365
0
0
0
0
0
0
0
0
0
5525
6500
7962.5
11375
11891.75
13975
13975
14576.25
15960.75
16214.25
19175
20133.75
24943.75
26910
26656.5
27300
27283.75
28096.25
27950
27950
28275
27706.25
27950
27625
27267.5
24602.5
18931.25
12447.5
7007
585
0
0
0
0
4712.5
5200
5200
5525
5525
7865
10416.25
10903.75
12356.5
12613.25
13650
14560
15860
16900
16900
20280
22782.5
25805
26721.5
27137.5
32825
36075
35750
35646
28258.75
7117.5
3334.5
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
0
4488.25
5505.5
10725
12220
14105
15817.75
17403.75
17550
17550
16233.75
15925
13000
9815
9129.25
5980
5391.75
5915
7410
13260
18606.25
19620.25
23725
29575
30875
30875
30875
30940
31525
32110
33211.75
33728.5
34823.75
35311.25
35425
35685
35431.5
35278.75
35100
35425
35425
35522.5
35750
35750
35750
35750
35165
